"keyword","period","searchVolume"
"영주","2023-04","35400"
"영주","2023-05","38100"
"영주","2023-06","64000"
"영주","2023-07","59900"
"영주","2023-08","39700"
"영주","2023-09","43700"
"영주","2023-10","38700"
"영주","2023-11","31100"
"영주","2023-12","30000"
"영주","2024-01","30200"
"영주","2024-02","32600"
"영주","2024-03","34100"
