기준연월,지역명,검색량(건)
202210,충청남도 보령시 ,14676
202211,충청남도 보령시 ,12757
202212,충청남도 보령시 ,11746
202301,충청남도 보령시 ,11685
202302,충청남도 보령시 ,12946
202303,충청남도 보령시 ,15248
202304,충청남도 보령시 ,17927
202305,충청남도 보령시 ,21225
202306,충청남도 보령시 ,21851
202307,충청남도 보령시 ,27192
202308,충청남도 보령시 ,27813
202309,충청남도 보령시 ,24585
202310,충청남도 보령시 ,25646
202311,충청남도 보령시 ,20866
202312,충청남도 보령시 ,17136
202401,충청남도 보령시 ,19118
202402,충청남도 보령시 ,15640
202403,충청남도 보령시 ,18186
