기준연월,지역명,검색량(건)
202210,경상북도 영주시 ,11002
202211,경상북도 영주시 ,9991
202212,경상북도 영주시 ,10433
202301,경상북도 영주시 ,9136
202302,경상북도 영주시 ,8025
202303,경상북도 영주시 ,9763
202304,경상북도 영주시 ,10723
202305,경상북도 영주시 ,11996
202306,경상북도 영주시 ,11655
202307,경상북도 영주시 ,15603
202308,경상북도 영주시 ,12712
202309,경상북도 영주시 ,10669
202310,경상북도 영주시 ,13037
202311,경상북도 영주시 ,11390
202312,경상북도 영주시 ,11207
202401,경상북도 영주시 ,11698
202402,경상북도 영주시 ,10114
202403,경상북도 영주시 ,9985
