기준연월,지역명,검색량(건)
202210,대구광역시,235914
202211,대구광역시,235520
202212,대구광역시,231623
202301,대구광역시,233795
202302,대구광역시,230655
202303,대구광역시,265709
202304,대구광역시,261868
202305,대구광역시,291359
202306,대구광역시,278648
202307,대구광역시,285208
202308,대구광역시,305302
202309,대구광역시,272501
202310,대구광역시,291293
202311,대구광역시,286381
202312,대구광역시,290499
202401,대구광역시,298764
202402,대구광역시,287687
202403,대구광역시,320304
