"keyword","period","searchVolume"
"국내가족여행","2023-04","8180"
"국내가족여행","2023-05","8590"
"국내가족여행","2023-06","8940"
"국내가족여행","2023-07","11300"
"국내가족여행","2023-08","9030"
"국내가족여행","2023-09","6810"
"국내가족여행","2023-10","4180"
"국내가족여행","2023-11","4360"
"국내가족여행","2023-12","5640"
"국내가족여행","2024-01","8400"
"국내가족여행","2024-02","9660"
"국내가족여행","2024-03","6830"
