기준연월,지역명,검색량(건)
202210,충청남도,241601
202211,충청남도,225912
202212,충청남도,205060
202301,충청남도,206822
202302,충청남도,212918
202303,충청남도,255286
202304,충청남도,272074
202305,충청남도,301584
202306,충청남도,290688
202307,충청남도,316563
202308,충청남도,323641
202309,충청남도,308811
202310,충청남도,321463
202311,충청남도,299088
202312,충청남도,283371
202401,충청남도,291081
202402,충청남도,278028
202403,충청남도,318352
