"keyword","period","searchVolume"
"보령","2023-04","57800"
"보령","2023-05","52100"
"보령","2023-06","49900"
"보령","2023-07","65900"
"보령","2023-08","68200"
"보령","2023-09","56700"
"보령","2023-10","48100"
"보령","2023-11","41500"
"보령","2023-12","68500"
"보령","2024-01","62000"
"보령","2024-02","49200"
"보령","2024-03","59000"
