"keyword","period","searchVolume"
"힐링","2023-04","29100"
"힐링","2023-05","30800"
"힐링","2023-06","29200"
"힐링","2023-07","27400"
"힐링","2023-08","27500"
"힐링","2023-09","25400"
"힐링","2023-10","27100"
"힐링","2023-11","23000"
"힐링","2023-12","20900"
"힐링","2024-01","21800"
"힐링","2024-02","19700"
"힐링","2024-03","23100"
